Agency,Milestone 3.1: Select an operational maturity assessment model for data and data infrastructure. Complete = An operational maturity assessment model has been selected.
Administrative Conference of the United States,Complete
Consumer Financial Protection Bureau,Complete
Consumer Product Safety Commission,Complete
Department of Agriculture,Complete
Department of Education,Complete
Department of the Interior,Complete
Department of the Treasury,Complete
Environmental Protection Agency,Complete
Equal Employment Opportunity Commission,Complete
Farm Credit Administration,Complete
Federal Retirement Thrift Investment Board,Complete
Federal Trade Commission,Complete
General Services Administration,Complete
National Credit Union Administration,Complete
National Endowment for the Arts,Complete
National Science Foundation,Complete
National Transportation Safety Board,Complete
Office of Government Ethics,Complete
Office of Personnel Management,Complete
Pension Benefit Guaranty Coorporation,Complete
Selective Service System,Complete
Small Business Administration,Complete
U.S. Agency for International Development,Complete
U.S. Trade and Development Agency,Complete
