AGENCY,Did an agency post DGB to [agency].gov/data webpage? (Y/N),Membership? (Y/N),Charter?(Y/N),Meeting Cadence? (Y/N)
Consumer Financial Protection Bureau,Y,Y,Y,Y
Department of Agriculture,Y,Y,Y,N
Department of Commerce,Y,Y,Y,Y
Department of Education,Y,Y,Y,Y
Department of Homeland Security,Y,Y,N,N
Department of Justice,Y,Y,Y,Y
Department of Labor,Y,Y,Y,Y
Department of the Interior,Y,Y,Y,Y
Department of the Treasury,Y,Y,Y,Y
Department of Veterans Affairs,Y,Y,N,N
Farm Credit Administration,Y,Y,Y,Y
Federal Trade Commission,Y,Y,N,Y
Merit Systems Protection Board,Y,Y,N,N
National Endowment for the Arts,Y,Y,Y,Y
National Science Foundation,Y,Y,Y,Y
Nuclear Regulatory Commission,Y,Y,Y,Y
Office of Government Ethics,Y,Y,Y,Y
Office of the Comptroller of the Currency,Y,Y,N,N
Pension Benefit Guaranty Coorporation,Y,Y,Y,Y
Selective Service System,Y,Y,Y,Y
Small Business Administration,Y,Y,Y,Y
Social Security Administration,Y,Y,Y,Y
Surface Transportation Board,Y,Y,Y,Y
U.S. Agency for International Development,Y,Y,Y,Y
U.S. Securities and Exchange Commission,Y,Y,Y,Y
U.S. Trade and Development Agency,Y,Y,Y,Y
